SPEC-ID                        Frontmatter          Git-Implied          Drift?    
SPEC-TOKEN-VERIFY-DIET-001     completed            in-progress          DRIFT     
SPEC-TOOL-001                  completed            era-exempt           aligned   
SPEC-TOOL-AUDIT-001            archived             terminal-exempt      aligned   
SPEC-TOOLPOLICY-DEPLOY-REVIEW-001 completed            completed            aligned   
SPEC-TREND-MCP-001             completed            completed            aligned   
SPEC-UI-001                    completed            era-exempt           aligned   
SPEC-UI-002                    completed            era-exempt           aligned   
SPEC-UI-003                    implemented          era-exempt           aligned   
SPEC-UPDATE-001                completed            era-exempt           aligned   
SPEC-UPDATE-002                implemented          era-exempt           aligned   
SPEC-UPDATE-DATA-SURVIVAL-001  completed            completed            aligned   
SPEC-UPDATE-DOC-DRIFT-001      draft                implemented          DRIFT     
SPEC-UPDATE-GUARD-EFFICACY-001 completed            implemented          DRIFT     
SPEC-UPDATE-LEGACY-SKILL-LIST-001 completed            in-progress          DRIFT     
SPEC-UPDATE-REINSTALL-LOOP-001 completed            completed            aligned   
SPEC-UPDATE-REINSTALL-LOOP-002 completed            implemented          DRIFT     
