cited_path	first_citing_doc	resolves_in_primary	resolves_in_worktree
.moai/state/verify/t217/vet-windows.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/vet-linux.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/template-test.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/hook-test.txt	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t217/orch-m4-lint.log	.moai/specs/SPEC-SEC-SCAN-SURFACE-001/progress.md	False	False
.moai/state/verify/t341	.moai/specs/SPEC-SELECTOR-CENSUS-001/progress.md	True	False
.moai/state/verify/t291	.moai/specs/SPEC-STAMP-REACHABILITY-001/progress.md	False	False
.moai/state/verify/t291/red-mx.txt	.moai/specs/SPEC-STAMP-REACHABILITY-001/progress.md	False	False
.moai/state/verify/t291/dryrun-driver.sh	.moai/specs/SPEC-STAMP-REACHABILITY-001/progress.md	False	False
.moai/state/verify/t291/guard-ref.sh	.moai/specs/SPEC-STAMP-REACHABILITY-001/progress.md	False	False
.moai/state/verify/t291/dryrun.log	.moai/specs/SPEC-STAMP-REACHABILITY-001/progress.md	False	False
.moai/state/verify/t291/docs-parity-check.sh	.moai/specs/SPEC-STAMP-REACHABILITY-001/progress.md	False	False
.moai/state/verify/lead-ci/c6aa61346-failed.log:51-52	.moai/specs/SPEC-TEMPDIR-CLEANUP-RACE-001/spec.md	False	False
.moai/state/verify/tdn2	.moai/specs/SPEC-TEMPLATE-DATE-NEUTRALITY-002/progress.md	False	False
.moai/state/verify/i18n-canonical-001	.moai/specs/SPEC-TEMPLATE-I18N-CANONICAL-001/progress.md	True	False
.moai/state/verify/cleanup-001/m1-red-provenance.log	.moai/specs/SPEC-TEMPLATE-RULES-CLEANUP-001/progress.md	False	False
.moai/state/verify/cleanup-001/m7-green-guards.log	.moai/specs/SPEC-TEMPLATE-RULES-CLEANUP-001/progress.md	False	False
.moai/state/verify/t330	.moai/specs/SPEC-TODO-DESTRUCTIVE-GUARD-001/progress.md	False	False
.moai/state/verify/t306-m2/red.log	.moai/specs/SPEC-TODO-SQLITE-001/progress.md	False	False
.moai/state/verify/t306-m3/red.log	.moai/specs/SPEC-TODO-SQLITE-001/progress.md	False	False
.moai/state/verify/t306-m5/red.log	.moai/specs/SPEC-TODO-SQLITE-001/progress.md	False	False
.moai/state/verify/t306-m*	.moai/specs/SPEC-TODO-SQLITE-001/progress.md	False	False
.moai/state/verify/t306-ac010/red.log	.moai/specs/SPEC-TODO-SQLITE-001/progress.md	False	False
.moai/state/verify/m5	.moai/specs/SPEC-UPDATE-DATA-SURVIVAL-001/progress.md	False	False
.moai/state/verify/t225/ac-amp-006-glm-differential-attempt{1..4}.md	.moai/specs/SPEC-V3R6-AUDIT-MODEL-PIN-001/acceptance.md	False	False
.moai/state/verify/t225/ac-amp-006-glm-differential{	.moai/specs/SPEC-V3R6-AUDIT-MODEL-PIN-001/progress.md	False	False
.moai/state/verify/t225/ac-amp-007-codex-pin.md	.moai/specs/SPEC-V3R6-AUDIT-MODEL-PIN-001/progress.md	False	False
.moai/state/verify/00-RED-baseline.log	.moai/specs/SPEC-V3R6-ZONE-REGISTRY-PACKAGING-001/progress.md	False	False
.moai/state/verify/e07c0351	.moai/specs/SPEC-WEB-CONSOLE-012/progress.md	True	False
.moai/state/verify/t207	.moai/specs/SPEC-WEB-CONSOLE-015/progress.md	False	False
.moai/state/verify/t207/lint-head.log	.moai/specs/SPEC-WEB-CONSOLE-015/progress.md	False	False
.moai/state/verify/t207/cli-suite.log	.moai/specs/SPEC-WEB-CONSOLE-015/progress.md	False	False
.moai/state/verify/web-redesign/coverage-analysis.txt	.moai/specs/SPEC-WEB-CONSOLE-REDESIGN-001/progress.md	False	False
.moai/state/verify/snapshots/<key-prefix>.json	.moai/specs/SPEC-WORKFLOW-CACHE-OPT-001/plan.md	False	False
.moai/state/verify/wco-m1/wco-full-test.log	.moai/specs/SPEC-WORKFLOW-CACHE-OPT-001/progress.md	False	False
.moai/state/verify/snapshots/<head12>-<digest16>.json	.moai/specs/SPEC-WORKFLOW-CACHE-OPT-001/progress.md	False	False
.moai/state/verify/wco-m2m6/m6-full-test.log	.moai/specs/SPEC-WORKFLOW-CACHE-OPT-001/progress.md	False	False
.moai/state/verify/wco-m2m6	.moai/specs/SPEC-WORKFLOW-CACHE-OPT-001/progress.md	False	False
.moai/state/verify/t209/sweep-a.log	.moai/specs/SPEC-WORKTREE-REAPER-001/acceptance.md	False	False
.moai/state/verify/t209/sweep-b.log	.moai/specs/SPEC-WORKTREE-REAPER-001/acceptance.md	False	False
.moai/state/verify/t209/ac-battery.sh	.moai/specs/SPEC-WORKTREE-REAPER-001/progress.md	False	False
.moai/state/verify/t209/sync-build.log	.moai/specs/SPEC-WORKTREE-REAPER-001/progress.md	False	False
.moai/state/verify/t209/sync-vet.log	.moai/specs/SPEC-WORKTREE-REAPER-001/progress.md	False	False
.moai/state/verify/t209/sync-tests.log	.moai/specs/SPEC-WORKTREE-REAPER-001/progress.md	False	False
.moai/state/verify/t209/f-repair-build.log	.moai/specs/SPEC-WORKTREE-REAPER-001/progress.md	False	False
.moai/state/verify/t209/f-repair-vet.log	.moai/specs/SPEC-WORKTREE-REAPER-001/progress.md	False	False
.moai/state/verify/t209/f-repair-vet-windows.log	.moai/specs/SPEC-WORKTREE-REAPER-001/progress.md	False	False
.moai/state/verify/t209/f-repair-pkgtests.log	.moai/specs/SPEC-WORKTREE-REAPER-001/progress.md	False	False
.moai/state/verify/t209/f-repair-cli-targeted.log	.moai/specs/SPEC-WORKTREE-REAPER-001/progress.md	False	False
.moai/state/verify/session	docs-site/content/en/advanced/agent-guide.md	False	False
.moai/state/verify/abc123/M1.*	docs-site/content/en/advanced/manager-lead.md	False	False
.moai/state/verify/abc123/M2.*	docs-site/content/en/advanced/manager-lead.md	False	False
